Date,Open,High,Low,Close
2011-11-15,1.3623,1.364,1.3496,1.3526
2011-11-16,1.3525,1.3556,1.3429,1.3455
2011-11-17,1.3455,1.3539,1.3422,1.3469
2011-11-18,1.3468,1.3613,1.3447,1.3525
2011-11-21,1.3525,1.354,1.343,1.3486
2011-11-22,1.3486,1.3568,1.3469,1.3516
2011-11-23,1.3517,1.3531,1.332,1.3347
2011-11-24,1.3346,1.3411,1.3317,1.3341
2011-11-25,1.3341,1.3345,1.3213,1.3239
2011-11-28,1.3313,1.3398,1.3273,1.3313
2011-11-29,1.3313,1.3441,1.3285,1.3332
2011-11-30,1.3332,1.3531,1.3259,1.344
2011-12-01,1.344,1.3521,1.3418,1.346
2011-12-02,1.3461,1.3547,1.3363,1.3391
2011-12-05,1.3408,1.3486,1.3376,1.3395
2011-12-06,1.3395,1.3427,1.3334,1.3402
2011-12-07,1.3402,1.3453,1.3351,1.3416
2011-12-08,1.3415,1.3459,1.3289,1.3344
2011-12-09,1.3345,1.3433,1.3281,1.3384
2011-12-12,1.3361,1.3376,1.3163,1.3167
2011-12-13,1.3171,1.3236,1.3009,1.3034
2011-12-14,1.3033,1.3064,1.2946,1.2983
2011-12-15,1.2984,1.305,1.2957,1.3021
2011-12-16,1.3021,1.3084,1.2996,1.3043
2011-12-19,1.3034,1.3043,1.2983,1.2997
2011-12-20,1.2997,1.3131,1.2995,1.3082
2011-12-21,1.3081,1.3196,1.3026,1.3044
2011-12-22,1.3044,1.3119,1.3018,1.3052
2011-12-23,1.3051,1.3094,1.3027,1.3043
2011-12-26,1.3042,1.3083,1.3033,1.3055
2011-12-27,1.3055,1.3083,1.3043,1.3068
2011-12-28,1.3068,1.308,1.2912,1.2937
2011-12-29,1.2938,1.2965,1.2858,1.2951
2011-12-30,1.2951,1.2998,1.2904,1.296
2012-01-02,1.2941,1.2959,1.2918,1.2934
2012-01-03,1.2934,1.3077,1.2932,1.3051
